,wid,alpha,m
0,0-7,0.761594743205379,40.293773274606956
1,1-1,1.7169560112649849,0.5485521854243778
2,10-8,0.6966085190402994,22.146356381794952
3,11-172,0.6035425157687476,51.39592539784226
4,12-30,1.8399195721847652,0.06543200200214136
5,13-49,2.017345753578777,0.08563913465214396
6,15-34,0.7825532364686204,31.142641156556312
7,16-11,0.13020879780354874,73.42424767792203
8,17-23,0.5437542412186661,45.66270562061628
9,18-7,0.8175428737863732,17.42671763896546
10,2-1,1.2020477169771806,4.759489073746201
11,3-2,1.2371190329697133,2.6018644703366665
12,4-24,0.3823512085806649,540.6240459920913
13,5-10,0.9007052127131077,17.542174146917674
14,6-1,1.9453448801698294,0.020076512231470868
15,7-14,1.4592878972456707,2.881797334878166
16,8-6,0.5396867548460449,111.60266423582353
17,9-258,1.2041472522986358,2.050762715139169
