time,r_simple
0.1,2.1020229126416137
0.12,2.4830460389024425
0.14,2.8580410740697144
0.16,3.2278756150038106
0.18,3.5931983633266196
0.2,3.954512840281648
0.22,4.312221293107299
0.24,4.66665249580299
0.26,5.018080216595355
0.28,5.366735969137217
0.3,5.712818102044064
0.32,6.056498454005093
0.34,6.397927338828754
0.36,6.737237353650392
0.38,7.074546338393213
0.4,7.409959710560136
0.42,7.743572331976052
0.44,8.075470019211124
0.46,8.405730778857524
0.48,8.734425827602186
0.5,9.06162044201738
0.52,9.387374672186604
0.54,9.711743945394456
0.56,10.034779580270008
0.58,10.356529227396685
0.6,10.677037249083384
0.62,10.996345048449044
0.64,11.314491356005128
0.66,11.631512480384187
0.68,11.947442528652132
0.7,12.262313600681605
0.72,12.576155961295099
0.74,12.888998193268058
0.76,13.200867333780423
0.78,13.511788996496046
0.8,13.82178748111395
0.82,14.130885871958409
0.84,14.439106126945466
0.86,14.746469158072234
0.88,15.052994904415295
0.9,15.35870239848985
0.92,15.663609826707777
0.94,15.96773458457625
0.96,16.27109332719678
0.98,16.573702015554428
1.0,16.875575959026854
1.02,17.17672985449161
1.04,17.47717782236499
1.06,17.776933439867925
1.08,18.07600977178038
1.1,18.374419398916988
1.12,18.672174444531166
1.14,18.969286598832678
1.16,19.265767141784202
1.18,19.561626964325328
1.2,19.856876588157288
1.22,20.151526184208386
1.24,20.445585589888285
1.26,20.739064325228885
1.28,21.031971608000145
1.3,21.324316367880993
1.32,21.61610725975794
1.34,21.907352676217666
1.36,22.198060759293526
1.38,22.488239411520983
1.4,22.77789630635215
1.42,23.067038897974875
1.44,23.355674430578816
1.46,23.643809947106412
1.48,23.931452297524423
1.5,24.218608146648243
1.52,24.505283981548835
1.54,24.79148611856977
1.56,25.077220709979763
1.58,25.36249375028387
1.6,25.64731108221526
1.62,25.93167840242715
1.64,26.21560126690386
1.66,26.499085096107645
1.68,26.782135179877656
1.7,27.064756682095425
1.72,27.34695464513088
1.74,27.628733994081536
1.76,27.91009954081668
1.78,28.19105598783781
1.8,28.471607931965483
1.82,28.751759867862294
1.84,29.031516191401018
1.86,29.310881202886293
1.88,29.589859110137645
1.9,29.868454031441438
1.92,30.1466699983784
1.94,30.424510958533375
1.96,30.70198077809337
1.98,30.97908324433942
2.0,31.25582206803791
2.02,31.532200885736174
2.04,31.808223261967097
2.06,32.0838926913674
2.08,32.35921260071355
2.1,32.63418635087936
2.12,32.9088172387191
2.14,33.18310849887944
2.16,33.457063305543684
2.18,33.73068477411143
2.2,34.00397596281659
2.22,34.27693987428641
2.24,34.54957945704463
2.26,34.821897606960604
2.28,35.093897168647345
2.3,35.365580936810446
2.32,35.63695165755008
2.34,35.90801202961806
2.36,36.178764705632005
2.38,36.44921229324831
2.4,36.71935735629562
2.42,36.9892024158706
2.44,37.25874995139749
2.46,37.52800240165284
2.48,37.79696216575697
2.5,38.06563160413345
2.52,38.33401303943785
2.54,38.60210875745703
2.56,38.86992100798006
2.58,39.137452005642004
2.6,39.40470393074143
2.62,39.671678930032876
2.64,39.93837911749503
2.66,40.204806575075665
2.68,40.47096335341417
2.7,40.73685147254255
2.72,41.00247292256555
2.74,41.26782966432089
2.76,41.532923630020164
2.78,41.79775672387113
2.8,42.06233082268217
2.82,42.326647776449434
2.84,42.59070940892732
2.86,42.8545175181829
2.88,43.11807387713488
2.9,43.38138023407742
2.92,43.64443831318975
2.94,43.90724981503164
2.96,44.16981641702546
2.98,44.43213977392517
3.0,44.69422151827278
3.02,44.95606326084259
3.04,45.21766659107364
3.06,45.479033077490875
3.08,45.7401642681152
3.1,46.00106169086293
3.12,46.26172685393486
3.14,46.52216124619557
3.16,46.782366337542776
3.18,47.042343579267516
3.2,47.30209440440522
3.22,47.56162022807807
3.24,47.82092244782871
3.26,48.08000244394583
3.28,48.338861579781806
3.3,48.59750120206237
3.32,48.85592264118907
3.34,49.114127211534196
3.36,49.37211621172877
3.38,49.629890924943645
3.4,49.88745261916398
3.42,50.144802547457154
3.44,50.40194194823458
3.46,50.65887204550726
3.48,50.91559404913558
3.5,51.17210915507319
3.52,51.42841854560556
3.54,51.68452338958279
3.56,51.9404248426475
3.58,52.19612404745731
3.6,52.451622133902525
3.62,52.70692021931891
3.64,52.96201940869582
3.66,53.216920794879655
3.68,53.47162545877297
3.7,53.72613446952919
3.72,53.980448884743204
3.74,54.23456975063767
3.76,54.48849810224558
3.78,54.74223496358882
3.8,54.995781347852855
3.82,55.24913825755791
3.84,55.50230668472645
3.86,55.755287611047294
3.88,56.0080820080361
3.9,56.260690837192826
3.92,56.513115050155754
3.94,56.765355588852415
3.96,57.01741338564753
3.98,57.269289363487864
4.0,57.52098443604422
4.02,57.772499507850554
4.04,58.02383547444042
4.06,58.27499322248055
4.08,58.52597362990197
4.1,58.77677756602838
4.12,59.02740589170226
4.14,59.27785945940819
4.16,59.52813911339423
4.18,59.77824568979039
4.2,60.028180016725535
4.22,60.277942914441326
4.24,60.527535195404695
4.26,60.77695766441755
4.28,61.02621111872505
4.3,61.27529634812124
4.32,61.524214135053235
4.34,61.772965254723175
4.36,62.021550475188434
4.38,62.26997055745985
4.4,62.51822625559841
4.42,62.7663183168098
4.44,63.01424748153775
4.46,63.26201448355512
4.48,63.509620050053854
4.5,63.757064901733045
4.52,64.00434975288547
4.54,64.25147531148272
4.56,64.49844227925864
4.58,64.7452513517915
4.6,64.99190321858453
4.62,65.23839856314531
4.64,65.48473806306346
4.66,65.73092239008734
4.68,65.97695221019912
4.7,66.22282818368876
4.72,66.46855096522671
