label,volunteer_id,density,measured_density_mean,target_size,time,first_ca_peak,adjusted_time,accumulation,accumulation-per-target,unique_ID
10m-1,8,10,8116.6240643734,2046.1100000000004,0.0,5.083333333333333,-5.083333333333333,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,0.08333333333333333,5.083333333333333,-5.0,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,0.16666666666666666,5.083333333333333,-4.916666666666666,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,0.25,5.083333333333333,-4.833333333333333,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,0.3333333333333333,5.083333333333333,-4.75,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,0.4166666666666667,5.083333333333333,-4.666666666666666,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,0.5,5.083333333333333,-4.583333333333333,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,0.5833333333333334,5.083333333333333,-4.5,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,0.6666666666666666,5.083333333333333,-4.416666666666666,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,0.75,5.083333333333333,-4.333333333333333,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,0.8333333333333334,5.083333333333333,-4.25,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,0.9166666666666666,5.083333333333333,-4.166666666666666,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,1.0,5.083333333333333,-4.083333333333333,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,1.0833333333333333,5.083333333333333,-4.0,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,1.1666666666666667,5.083333333333333,-3.916666666666666,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,1.25,5.083333333333333,-3.833333333333333,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,1.3333333333333333,5.083333333333333,-3.75,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,1.4166666666666667,5.083333333333333,-3.666666666666666,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,1.5,5.083333333333333,-3.583333333333333,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,1.5833333333333333,5.083333333333333,-3.5,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,1.6666666666666667,5.083333333333333,-3.416666666666666,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,1.75,5.083333333333333,-3.333333333333333,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,1.8333333333333333,5.083333333333333,-3.25,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,1.9166666666666667,5.083333333333333,-3.166666666666666,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,2.0,5.083333333333333,-3.083333333333333,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,2.0833333333333335,5.083333333333333,-2.9999999999999996,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,2.1666666666666665,5.083333333333333,-2.9166666666666665,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,2.25,5.083333333333333,-2.833333333333333,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,2.3333333333333335,5.083333333333333,-2.7499999999999996,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,2.4166666666666665,5.083333333333333,-2.6666666666666665,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,2.5,5.083333333333333,-2.583333333333333,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,2.5833333333333335,5.083333333333333,-2.4999999999999996,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,2.6666666666666665,5.083333333333333,-2.4166666666666665,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,2.75,5.083333333333333,-2.333333333333333,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,2.8333333333333335,5.083333333333333,-2.2499999999999996,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,2.9166666666666665,5.083333333333333,-2.1666666666666665,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,3.0,5.083333333333333,-2.083333333333333,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,3.0833333333333335,5.083333333333333,-1.9999999999999996,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,3.1666666666666665,5.083333333333333,-1.9166666666666665,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,3.25,5.083333333333333,-1.833333333333333,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,3.3333333333333335,5.083333333333333,-1.7499999999999996,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,3.4166666666666665,5.083333333333333,-1.6666666666666665,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,3.5,5.083333333333333,-1.583333333333333,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,3.5833333333333335,5.083333333333333,-1.4999999999999996,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,3.6666666666666665,5.083333333333333,-1.4166666666666665,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,3.75,5.083333333333333,-1.333333333333333,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,3.8333333333333335,5.083333333333333,-1.2499999999999996,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,3.9166666666666665,5.083333333333333,-1.1666666666666665,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,4.0,5.083333333333333,-1.083333333333333,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,4.083333333333333,5.083333333333333,-1.0,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,4.166666666666667,5.083333333333333,-0.9166666666666661,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,4.25,5.083333333333333,-0.833333333333333,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,4.333333333333333,5.083333333333333,-0.75,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,4.416666666666667,5.083333333333333,-0.6666666666666661,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,4.5,5.083333333333333,-0.583333333333333,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,4.583333333333333,5.083333333333333,-0.5,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,4.666666666666667,5.083333333333333,-0.4166666666666661,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,4.75,5.083333333333333,-0.33333333333333304,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,4.833333333333333,5.083333333333333,-0.25,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,4.916666666666667,5.083333333333333,-0.16666666666666607,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,5.0,5.083333333333333,-0.08333333333333304,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,5.083333333333333,5.083333333333333,0.0,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,5.166666666666667,5.083333333333333,0.08333333333333393,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,5.25,5.083333333333333,0.16666666666666696,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,5.333333333333333,5.083333333333333,0.25,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,5.416666666666667,5.083333333333333,0.3333333333333339,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,5.5,5.083333333333333,0.41666666666666696,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,5.583333333333333,5.083333333333333,0.5,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,5.666666666666667,5.083333333333333,0.5833333333333339,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,5.75,5.083333333333333,0.666666666666667,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,5.833333333333333,5.083333333333333,0.75,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,5.916666666666667,5.083333333333333,0.8333333333333339,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,6.0,5.083333333333333,0.916666666666667,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,6.083333333333333,5.083333333333333,1.0,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,6.166666666666667,5.083333333333333,1.083333333333334,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,6.25,5.083333333333333,1.166666666666667,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,6.333333333333333,5.083333333333333,1.25,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,6.416666666666667,5.083333333333333,1.333333333333334,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,6.5,5.083333333333333,1.416666666666667,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,6.583333333333333,5.083333333333333,1.5,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,6.666666666666667,5.083333333333333,1.583333333333334,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,6.75,5.083333333333333,1.666666666666667,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,6.833333333333333,5.083333333333333,1.75,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,6.916666666666667,5.083333333333333,1.833333333333334,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,7.0,5.083333333333333,1.916666666666667,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,7.083333333333333,5.083333333333333,2.0,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,7.166666666666667,5.083333333333333,2.083333333333334,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,7.25,5.083333333333333,2.166666666666667,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,7.333333333333333,5.083333333333333,2.25,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,7.416666666666667,5.083333333333333,2.333333333333334,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,7.5,5.083333333333333,2.416666666666667,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,7.583333333333333,5.083333333333333,2.5,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,7.666666666666667,5.083333333333333,2.583333333333334,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,7.75,5.083333333333333,2.666666666666667,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,7.833333333333333,5.083333333333333,2.75,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,7.916666666666667,5.083333333333333,2.833333333333334,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,8.0,5.083333333333333,2.916666666666667,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,8.083333333333334,5.083333333333333,3.000000000000001,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,8.166666666666666,5.083333333333333,3.083333333333333,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,8.25,5.083333333333333,3.166666666666667,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,8.333333333333334,5.083333333333333,3.250000000000001,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,8.416666666666666,5.083333333333333,3.333333333333333,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,8.5,5.083333333333333,3.416666666666667,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,8.583333333333334,5.083333333333333,3.500000000000001,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,8.666666666666666,5.083333333333333,3.583333333333333,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,8.75,5.083333333333333,3.666666666666667,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,8.833333333333334,5.083333333333333,3.750000000000001,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,8.916666666666666,5.083333333333333,3.833333333333333,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,9.0,5.083333333333333,3.916666666666667,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,9.083333333333334,5.083333333333333,4.000000000000001,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,9.166666666666666,5.083333333333333,4.083333333333333,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,9.25,5.083333333333333,4.166666666666667,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,9.333333333333334,5.083333333333333,4.250000000000001,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,9.416666666666666,5.083333333333333,4.333333333333333,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,9.5,5.083333333333333,4.416666666666667,0.0,0.0,8-10m-1
10m-1,8,10,8116.6240643734,2046.1100000000004,9.583333333333334,5.083333333333333,4.500000000000001,0.0,0.0,8-10m-1
