,volunteer,seed_density,well_id,position,target_id,cell_num,target_size,cells_to_target,measured_density
0,18,6m,w1,p1,t1,470.34413326011344,2890.6900000000005,0.16270998732486477,5482.093663911845
1,18,6m,w1,p1,t2,544.2285124576147,3254.9000000000005,0.16720283647965056,4067.952249770431
2,18,6m,w1,p1,t3,360.0557145008281,3165.3600000000006,0.11374874090177044,5693.296602387511
3,18,6m,w1,p1,t4,371.8883760683761,2757.5900000000006,0.13485992336365304,6685.032139577594
4,18,6m,w1,p3,t1,374.26176566049986,3023.7900000000004,0.12377240670168888,5426.997245179063
5,18,6m,w1,p3,t2,371.0401671256292,2277.2200000000003,0.1629355824758386,7144.16896235078
6,18,6m,w1,p3,t3,351.4428220104519,2975.3900000000003,0.11811655682463537,3342.516069788797
7,18,6m,w1,p3,t4,428.8554731792412,2588.1900000000005,0.16569705979052585,4389.348025711662
8,18,6m,w1,p4,t1,664.0310749234332,3604.5900000000006,0.18421819816495996,5509.641873278237
9,18,6m,w1,p4,t2,629.6964335599218,3568.2900000000004,0.1764700833059874,6813.590449954086
10,18,6m,w1,p4,t3,442.8134849078793,3136.3200000000006,0.14118887259842083,7015.610651974288
11,18,6m,w1,p4,t4,598.5519382446719,3488.4300000000007,0.1715820407015969,6786.042240587694
12,18,6m,w1,p5,t1,393.67149258876253,2808.4100000000003,0.1401759332108782,8044.077134986225
13,18,6m,w1,p5,t2,594.1289671619885,3388.0000000000005,0.17536274119303083,7851.239669421487
14,18,6m,w1,p5,t3,411.19738442822387,2513.1700000000005,0.16361701931354575,6914.600550964186
15,18,6m,w1,p5,t4,507.6876801152738,3141.1600000000003,0.16162426623135204,7539.02662993572
16,18,3m,w2,p1,t1,287.4718345597564,2455.0900000000006,0.11709217770418044,2029.3847566574836
17,18,3m,w2,p1,t2,242.82730868912836,2768.4800000000005,0.08771141878905693,2084.481175390266
18,18,3m,w2,p1,t3,185.26234149944602,2475.6600000000003,0.07483351570871849,1680.4407713498622
19,18,3m,w2,p1,t4,151.40821949259558,1564.5300000000002,0.09677552970706574,2029.3847566574836
20,18,3m,w2,p2,t1,242.03459863098945,3251.2700000000004,0.07444309412352386,3213.9577594123048
21,18,3m,w2,p2,t2,126.58086696562033,1729.0900000000004,0.07320663873229288,3388.4297520661153
22,18,3m,w2,p2,t3,196.8744025338324,2254.2300000000005,0.08733554363744266,2754.8209366391184
23,18,3m,w2,p2,t4,660.375404986618,5356.670000000001,0.12328095719665724,2984.3893480257116
24,18,3m,w2,p3,t1,277.9060825294748,2557.9400000000005,0.10864448834979505,2359.963269054178
25,18,3m,w2,p3,t2,158.0195332983744,2831.4000000000005,0.05580968188824411,2341.5977961432504
26,18,3m,w2,p3,t3,285.2527236238532,2469.6100000000006,0.11550517029970447,2736.455463728191
27,18,3m,w2,p3,t4,253.54235827924876,2606.3400000000006,0.09727908034993465,2314.049586776859
28,18,3m,w2,p4,t1,263.9029137666627,2946.3500000000004,0.08956943803915444,1891.6437098255278
29,18,3m,w2,p4,t2,273.6563140469809,2942.7200000000003,0.09299434334458627,1974.2883379247014
30,18,3m,w2,p4,t3,258.2501826150475,2542.2100000000005,0.10158491336870182,2580.3489439853074
31,18,3m,w2,p4,t4,258.1637779452399,2397.01,0.10770242007552737,2102.8466483011935
32,18,3m,w2,p5,t1,193.9876735211105,2243.34,0.08647270298800472,2258.953168044077
33,18,3m,w2,p5,t2,278.42838691159585,3253.6900000000005,0.08557311449818385,2167.1258034894395
34,18,3m,w2,p5,t3,294.4169409071398,2770.9000000000005,0.10625318160422237,4747.474747474747
35,18,3m,w2,p5,t4,215.98110859728516,2463.5600000000004,0.08767032611232733,2855.831037649219
