,img_num,density,integrated_move,max_r,num_waves,max_areas
0,38,6000.920319254024,204428.18090023784,299.98158805968814,10,1236759.0491177281
1,39,8692.685374574436,114912.54615057819,349.7075568002998,6,816657.4067180017
2,28,11427.950577622549,4960.327587138954,125.59942028537972,3,100231.62255726698
3,58,2883.029447965959,92953.56847018967,315.7569532027781,5,814411.5312808936
4,64,8473.293865363368,30682.586131076558,259.1850959024373,4,418485.5397662299
5,70,3071.4811289549534,117857.76284400851,303.25357277990963,10,1498926.8683638843
6,71,4167.032319182018,85816.81941321159,246.0070375240648,7,789040.6478355136
7,65,9298.824736561426,95700.9332444635,236.83340850642813,7,443577.8760948039
8,59,4344.233153544804,73138.88871151485,339.51790798143975,8,1183157.611145699
9,73,5240.081816156665,101833.72851936103,358.7698055305472,6,986330.1352383136
10,67,6816.6066996541485,116025.25784942665,260.33847239697104,9,802940.3125718213
11,66,9087.871362320013,78037.83960130297,309.0437453562681,10,748665.480933571
12,72,4209.2229940303005,146785.93172072782,292.26650944145376,8,963086.4765742382
13,76,4491.900515513792,191170.866658415,363.0332819811435,7,1174780.7946956782
14,62,6030.453791647821,66184.47729095687,301.2567972812969,6,549334.0314895305
15,63,8380.474380697147,34134.849921491004,271.17069886151364,5,472739.21384897386
16,77,14714.7010312526,14843.89722930012,294.6926619490173,3,412947.01104902383
17,88,9425.396761106273,95258.30191879241,355.5361480814637,6,947660.5471102996
18,61,7304.612172065948,62441.65615735288,325.3520499773508,7,774292.1047528218
19,75,3798.5670921736855,139040.71407108536,326.1046128354889,4,708419.2149035849
20,49,7411.495215014929,193626.46110133838,407.0077899963246,7,1382321.8263694164
21,48,5915.456646766012,118583.299979015,262.4471411552887,8,895069.8432118935
22,74,4804.111509391081,82868.13585771708,266.72892718751547,6,824416.3994673761
23,60,4712.698380553136,28666.918076066802,282.7864812148472,3,532124.7176217589
24,86,8329.845570879208,81169.09781518883,345.3271296263543,8,800610.5439433987
25,79,14387.020123264274,48434.07375904724,284.4502278368764,5,546366.7077950607
26,45,4975.163911123354,119568.78484684658,299.778826809861,8,866165.8544120761
27,51,5946.072441951256,161310.15367246894,354.2132004794202,6,1371377.0775592423
28,50,7156.944810096959,72251.06179111321,258.7946337897014,6,623687.8268269128
29,44,14250.603607921495,38527.848459707915,141.81500010958027,9,336546.7187516285
30,78,13280.218086411,20281.74110366643,225.8927833107454,6,495528.7397010556
31,87,6868.641865300363,20277.157927711407,233.37098901896024,8,816423.0664699124
32,85,6428.452491049951,49583.511840012114,298.1705561147052,9,905478.9576016157
33,52,6667.532981856884,196846.3333206927,344.551730756307,9,1103204.1549807405
34,46,3793.5440883987008,139062.29429430506,386.1904744129359,5,1230998.0400793112
35,47,5004.594043694329,160082.0793720328,299.75621247130493,8,1087195.4845258945
36,53,13540.393914642076,12145.51422312136,186.21641614044267,7,430046.9579503981
37,84,2591.913791512812,54075.3018968683,310.85111989816744,7,971526.6684732846
38,80,14659.853153949833,15050.434188221334,182.68680012189037,6,422752.48133765266
39,57,3316.187043074991,60059.49610099147,276.86033038789486,5,655967.6524665314
40,42,11129.900024976878,10648.531953378775,175.41472331015763,6,325781.4880978915
41,56,13028.480393149584,23723.154399680603,207.926340537232,4,322951.52314227266
42,81,3078.512908096334,101385.01305183346,306.7063211993659,6,1059022.5513820997
43,83,3165.7069694494508,143847.31296869862,317.34880644771283,6,1141024.716549236
44,40,8311.562945111618,239198.16047077798,336.6529168988961,14,1389183.4941865932
45,54,12083.409276548058,28237.009097739112,277.77628717795073,6,513812.71820959845
46,68,7525.410037105292,203213.8685370836,353.99374705504715,7,1077318.6593471994
47,69,3259.932809943948,147703.62790389953,397.4677719445153,4,1403104.7065813271
48,41,13485.546037339309,123637.42103614227,236.7703254725752,9,698820.4067236356
49,82,3791.535313032305,60758.76440214099,276.0464237067908,11,1456192.1413777054
50,26,11421.345780294056,11177.60983112015,108.8729128062446,3,85329.87704044068
51,33,4216.25477317168,109494.68408163704,230.360658778543,8,653757.0769913914
52,27,11183.57307646836,20626.988276204833,154.3282084557755,4,109225.07357074559
53,34,3459.635337559151,127301.38709385335,292.44238834557655,10,979131.7749537139
54,35,4061.555632061312,174410.86225384122,303.45276763544786,12,857496.8049511148
55,37,6930.52152174451,119728.9452368574,376.6175348550495,4,606204.7422435865
56,36,4740.825497118658,103576.01838250979,277.7689066215255,8,690085.1508465244
