time,r_relay
1,-46.09218436873747
2,0.0
3,15.030060120240478
4,26.05210420841683
5,35.07014028056111
6,42.084168336673336
7,48.09619238476953
8,54.108216432865724
9,58.11623246492986
10,63.12625250501001
11,67.13426853707415
12,71.14228456913827
13,74.14829659318636
14,78.15631262525048
15,81.1623246492986
16,84.16833667334669
17,87.17434869739478
18,90.1803607214429
19,93.18637274549098
20,96.19238476953907
21,99.19839679358716
22,102.20440881763525
23,105.21042084168337
24,108.21643286573146
25,111.22244488977955
26,113.22645290581161
27,116.2324649298597
28,119.23847695390782
29,122.24448897795591
30,125.250501002004
31,128.2565130260521
32,130.26052104208415
33,133.26653306613227
34,136.27254509018036
35,139.27855711422845
36,141.2825651302605
37,144.2885771543086
38,147.29458917835672
39,149.29859719438878
40,152.30460921843687
41,155.31062124248496
42,157.31462925851702
43,160.3206412825651
44,163.32665330661322
45,165.33066132264528
46,168.33667334669337
47,171.34268537074146
48,173.34669338677352
49,176.35270541082164
50,178.3567134268537
51,181.3627254509018
52,184.36873747494988
53,186.37274549098194
54,189.37875751503006
55,191.38276553106212
56,194.3887775551102
57,196.39278557114227
58,199.39879759519036
59,201.40280561122242
60,204.40881763527054
61,207.41482965931863
62,209.4188376753507
63,212.42484969939878
64,214.42885771543084
65,217.43486973947896
66,219.43887775551102
67,222.44488977955908
68,224.44889779559114
69,226.45290581162325
70,229.45891783567131
71,231.46292585170337
72,234.4689378757515
73,236.47294589178355
74,239.47895791583167
75,241.48296593186373
76,244.4889779559118
77,246.49298597194385
78,249.49899799599197
79,251.50300601202403
80,253.5070140280561
81,256.5130260521042
82,258.51703406813624
83,260.5210420841683
84,263.52705410821636
85,265.5310621242484
86,268.53707414829654
87,270.5410821643286
88,272.54509018036066
89,275.5511022044088
90,277.55511022044084
91,279.5591182364729
92,281.56312625250496
93,284.5691382765531
94,286.57314629258514
95,288.5771543086172
96,290.58116232464926
97,292.5851703406813
98,295.5911823647294
99,297.5951903807615
100,299.59919839679355
101,301.6032064128256
102,303.6072144288577
103,305.61122244488973
104,307.6152304609218
105,309.61923847695385
106,311.6232464929859
107,313.627254509018
108,315.63126252505003
109,317.6352705410821
110,319.63927855711415
111,320.6412825651302
112,322.64529058116227
113,324.64929859719433
114,325.6513026052104
115,327.65531062124245
116,328.65731462925845
117,329.6593186372745
118,330.6613226452905
119,331.66332665330657
120,332.66533066132257
121,333.66733466933863
122,333.66733466933863
123,333.66733466933863
124,333.66733466933863
125,332.66533066132257
126,330.6613226452905
127,327.65531062124245
128,322.64529058116227
129,315.63126252505003
130,303.6072144288577
131,284.5691382765531
132,-46.09218436873747
133,-46.09218436873747
134,-46.09218436873747
135,-46.09218436873747
136,-46.09218436873747
137,-46.09218436873747
138,-46.09218436873747
139,-46.09218436873747
140,-46.09218436873747
141,-46.09218436873747
142,-46.09218436873747
143,-46.09218436873747
144,-46.09218436873747
145,-46.09218436873747
146,-46.09218436873747
147,-46.09218436873747
148,-46.09218436873747
149,-46.09218436873747
150,-46.09218436873747
151,-46.09218436873747
152,-46.09218436873747
153,-46.09218436873747
154,-46.09218436873747
155,-46.09218436873747
156,-46.09218436873747
157,-46.09218436873747
158,-46.09218436873747
159,-46.09218436873747
160,-46.09218436873747
161,-46.09218436873747
162,-46.09218436873747
163,-46.09218436873747
164,-46.09218436873747
165,-46.09218436873747
166,-46.09218436873747
167,-46.09218436873747
168,-46.09218436873747
169,-46.09218436873747
170,-46.09218436873747
171,-46.09218436873747
172,-46.09218436873747
173,-46.09218436873747
174,-46.09218436873747
175,-46.09218436873747
176,-46.09218436873747
177,-46.09218436873747
178,-46.09218436873747
179,-46.09218436873747
180,-46.09218436873747
181,-46.09218436873747
182,-46.09218436873747
183,-46.09218436873747
184,-46.09218436873747
185,-46.09218436873747
186,-46.09218436873747
187,-46.09218436873747
188,-46.09218436873747
189,-46.09218436873747
190,-46.09218436873747
191,-46.09218436873747
