time,r_simple
0.1,2.296744889343709
0.12,2.7167124109449565
0.14,3.130651841452647
0.16,3.539430777727163
0.18,3.943697921390389
0.2,4.343956793685837
0.22,4.740609641851909
0.24,5.133985239888017
0.26,5.5243573560208015
0.28,5.911957503903081
0.3,6.296984032150346
0.32,6.679608779451796
0.34,7.0599820596158755
0.36,7.438236469777934
0.38,7.814489849861171
0.4,8.188847617368513
0.42,8.561404634124848
0.44,8.932246716700343
0.46,9.30145187168716
0.48,9.669091315772238
0.5,10.035230325527854
0.52,10.399928951037497
0.54,10.763242619585764
0.56,11.125222649801737
0.58,11.485916692268828
0.6,11.845369109295952
0.62,12.203621304002027
0.64,12.560712006898534
0.66,12.916677526618011
0.68,13.27155197022638
0.7,13.625367437596264
0.72,13.978154193550177
0.74,14.32994082086356
0.76,14.68075435671634
0.78,15.030620414772383
0.8,15.379563294730707
0.82,15.727606080915583
0.84,16.07477073124306
0.86,16.421078157710244
0.88,16.766548299393722
0.9,17.111200188808702
0.92,17.45505201236705
0.94,17.798121165575942
0.96,18.140424303536886
0.98,18.481977387234952
1.0,18.822795726047804
1.02,19.162894016852977
1.04,19.502286380066778
1.06,19.840986392910132
1.08,20.179007120162993
1.1,20.516361142640022
1.12,20.853060583594623
1.14,21.18911713323655
1.16,21.524542071528494
1.18,21.85934628941004
1.2,22.193540308582428
1.22,22.52713429997394
1.24,22.86013810099426
1.26,23.192561231675278
1.28,23.524412909786957
1.3,23.855702065008213
1.32,24.186437352225592
1.34,24.516627164025742
1.36,24.846279642442006
1.38,25.17540269000989
1.4,25.504003980181466
1.42,25.832090967144623
1.44,26.15967089508898
1.46,26.486750806956987
1.48,26.813337552715424
1.5,27.139437797179653
1.52,27.465058027420667
1.54,27.79020455978203
1.56,28.114883546532436
1.58,28.439100982176967
1.6,28.76286270944876
1.62,29.08617442500108
1.64,29.409041684818202
1.66,29.73146990936242
1.68,30.053464388472847
1.7,30.375030286031024
1.72,30.696172644406904
1.74,31.016896388697976
1.76,31.33720633077354
1.78,31.6571071731351
1.8,31.976603512603184
1.82,32.29569984384041
1.84,32.614400562719574
1.86,32.93270996954526
1.88,33.250632272137025
1.9,33.568171588781226
1.92,33.88533195105861
1.94,34.202117306554
1.96,34.51853152145442
