Column1
0.1
0.13
0.16
0.19
0.22
0.25
0.28
0.31
0.34
0.37
0.4
0.43
0.46
0.49
0.52
0.55
0.58
0.61
0.64
0.67
0.7
0.73
0.76
0.79
0.82
0.85
0.88
0.91
0.94
0.97
1.0
