,speed_type,image_id,wave_id,mean_speed
109,cell,,,11.070399458185443
110,cell,,,9.521177072318132
111,cell,,,11.491528185910056
112,cell,,,10.222042316174495
113,cell,,,11.942834662431547
114,cell,,,10.380743709920347
115,cell,,,10.129280722152298
116,cell,,,7.789727692255825
117,cell,,,7.746777630643604
118,cell,,,6.44992186660966
119,cell,,,4.938029804209058
120,cell,,,7.563679674539867
121,cell,,,5.153198394594048
122,cell,,,5.904444937667895
123,cell,,,8.275758059796198
124,cell,,,10.012896542843936
