,speed_type,image_id,wave_id,mean_speed
0,wave,27.0,6.0,85.2995336429378
1,wave,28.0,2.0,154.35161933543858
2,wave,33.0,2.0,108.12432810916886
3,wave,33.0,5.0,71.83779067140517
4,wave,33.0,19.0,27.2449569076107
5,wave,34.0,6.0,190.91799584629678
6,wave,34.0,8.0,162.522025116977
7,wave,34.0,16.0,90.33358347195185
8,wave,35.0,3.0,100.47590546671216
9,wave,35.0,11.0,95.67066858289445
10,wave,35.0,15.0,68.5894654471134
11,wave,36.0,2.0,138.8100206754948
12,wave,36.0,3.0,116.75030992927657
13,wave,37.0,1.0,73.30942502072327
14,wave,37.0,2.0,85.11798793476831
15,wave,38.0,2.0,67.65493200096068
16,wave,38.0,3.0,99.13603356388704
17,wave,38.0,11.0,79.35008149493419
18,wave,38.0,14.0,37.84318272946205
19,wave,38.0,22.0,50.90737814074873
20,wave,38.0,33.0,164.77064622348513
21,wave,39.0,1.0,91.76758173912715
22,wave,39.0,48.0,110.44072913431862
23,wave,40.0,2.0,69.36176736181554
24,wave,40.0,3.0,137.4846058612585
25,wave,40.0,4.0,47.58032360623991
26,wave,40.0,14.0,49.41129158795093
27,wave,41.0,14.0,113.71669737020697
28,wave,41.0,39.0,108.21658440344767
29,wave,42.0,86.0,95.57052767660105
30,wave,44.0,10.0,66.55949333206716
31,wave,44.0,51.0,55.35740698505469
32,wave,44.0,53.0,76.7707930040911
33,wave,45.0,7.0,127.74691972289814
34,wave,45.0,19.0,74.55690712942322
35,wave,45.0,59.0,77.97630814582374
36,wave,46.0,70.0,63.86754537905999
37,wave,46.0,71.0,55.58851260494094
38,wave,47.0,1.0,64.01566397159829
39,wave,47.0,2.0,145.40809925288042
40,wave,47.0,61.0,105.1706391039588
41,wave,48.0,2.0,66.80196146073772
42,wave,48.0,57.0,80.62566468398889
43,wave,49.0,19.0,117.49922372058278
44,wave,50.0,16.0,54.92043527921196
45,wave,51.0,4.0,53.327515680509606
46,wave,51.0,69.0,82.56499029613138
47,wave,53.0,15.0,116.24055257716665
48,wave,53.0,18.0,61.94307896818051
49,wave,53.0,19.0,77.21671076064646
50,wave,54.0,10.0,85.02354091673769
51,wave,54.0,13.0,131.0023888940857
52,wave,56.0,3.0,100.12567616388465
53,wave,57.0,2.0,103.33609301368926
54,wave,57.0,6.0,125.99772136680625
55,wave,57.0,7.0,148.6960145363996
56,wave,57.0,11.0,32.60046759424495
57,wave,57.0,12.0,170.89785626989837
58,wave,58.0,2.0,94.997552277782
59,wave,58.0,6.0,34.111245353230984
60,wave,58.0,12.0,71.2428943109784
61,wave,59.0,3.0,86.47072525268175
62,wave,59.0,5.0,124.53658779545981
63,wave,60.0,2.0,91.2067219850909
64,wave,60.0,10.0,160.30200224016232
65,wave,61.0,4.0,46.753223907619706
66,wave,61.0,5.0,123.06540915406612
67,wave,61.0,6.0,106.54524735155422
68,wave,61.0,9.0,67.92913039704725
69,wave,62.0,3.0,66.01407940678621
70,wave,62.0,6.0,127.44665427157888
71,wave,63.0,6.0,74.18832213604432
72,wave,63.0,10.0,166.37739304764648
73,wave,63.0,11.0,134.5854303004732
74,wave,64.0,11.0,111.6737283878278
75,wave,65.0,21.0,85.90895990986736
76,wave,66.0,73.0,34.42134364999521
77,wave,66.0,74.0,43.38667592822788
78,wave,67.0,10.0,158.76777101805743
79,wave,68.0,2.0,101.11329104353685
80,wave,68.0,64.0,115.26954699395814
81,wave,69.0,3.0,64.81971298375885
