,track_status,mean_movement
0,outer,-0.00199913392882297
1,outer,0.08401890650707006
2,outer,0.06219134871859152
3,outer,0.8699487626305663
4,outer,2.4441390875179043
5,outer,0.4056240579861965
6,outer,0.31334666372738085
7,outer,2.1656591005304344
8,outer,3.7057761874857205
9,outer,1.3413757420733186
10,outer,3.9507909660919216
11,outer,1.3828939872839243
12,outer,0.06017039740068042
13,outer,0.1148609151601166
14,outer,1.3722735081599162
15,outer,3.2005905969408426
16,outer,1.1637116213558918
17,outer,3.401490490879008
18,outer,1.85073558799103
19,outer,-0.4267471454937491
20,outer,1.2317326330686222
21,outer,1.6311168110015573
22,outer,0.025742530790374637
23,outer,0.5330512973366988
24,outer,0.04626315729579765
25,outer,0.2425074032288631
26,outer,2.6387996117892505
27,outer,2.2618056579154056
28,outer,0.106827793255513
29,outer,1.184488106599896
30,outer,1.5855533453350896
31,outer,0.549326717788058
32,outer,0.4063838587387962
33,outer,0.507741375718615
34,outer,1.4159218465028174
35,outer,-0.5255752830406628
36,outer,3.1773854310508405
37,outer,5.457443437872597
38,outer,0.6245510906496067
39,outer,0.99217855832633
40,outer,3.595012095556301
41,outer,0.7339454242681083
42,outer,-0.04947486618946156
43,outer,1.2932725629208577
44,outer,1.272888878295481
45,outer,0.04633846556361209
46,outer,0.05157972498418167
47,outer,0.10270189240156775
48,outer,0.059107180576932795
49,outer,1.2831077177405754
50,outer,1.191312135028592
51,outer,0.5555565405975436
52,outer,0.3599519017433809
53,outer,0.3383851870677339
54,outer,0.5641395256015812
55,outer,0.09235894307221769
56,outer,1.152782148873486
0,inner,1.5450403714032914
1,inner,3.220157927912009
2,inner,2.537937517076454
3,inner,5.02415026148866
4,inner,8.202771881123738
5,inner,3.3340529387944335
6,inner,3.0090063446217994
7,inner,5.4337564939539655
8,inner,7.004670566696403
9,inner,3.6158823392833996
10,inner,7.306372466675584
11,inner,6.035972501495909
12,inner,3.5543890076902946
13,inner,3.7387582157977857
14,inner,4.868261755163502
15,inner,5.598932455359592
16,inner,6.087271980566876
17,inner,5.7178828240137
18,inner,4.60762317433975
19,inner,2.836654737731067
20,inner,4.471152021209884
21,inner,5.803141894223135
22,inner,1.4391542326866273
23,inner,2.6690741251012358
24,inner,1.759956229387945
25,inner,4.533978986278774
26,inner,7.140759071317255
27,inner,5.010083382306061
28,inner,2.8233179260205814
29,inner,4.474722546520364
30,inner,7.452753602431677
31,inner,4.8506258044890505
32,inner,3.416878498569946
33,inner,3.6861539922529154
34,inner,3.9510485519647394
35,inner,2.5122018137521205
36,inner,6.323420919000509
37,inner,6.756847776252943
38,inner,3.2351989544762083
39,inner,3.946965226381418
40,inner,7.308699016365766
41,inner,4.021864894987225
42,inner,2.029610568383871
43,inner,5.904894178893332
44,inner,4.640398158300399
45,inner,0.9666336822098714
46,inner,2.741595498332022
47,inner,1.645860975083698
48,inner,0.42022513946684875
49,inner,7.950988000140745
50,inner,4.573057926317157
51,inner,4.590645868033744
52,inner,3.8328900327413726
53,inner,2.7197065360989905
54,inner,2.7100784220187695
55,inner,1.7606589571571631
56,inner,4.982998077691563
