real_time,circle_radius,relative_radius,radius_squared
0.0,44.53301474144713,0.0,0.0
5.0,62.51621938978307,17.983204648335935,323.39564942393116
10.0,72.52913685868573,27.9961221172386,783.7828536033362
15.0,83.05502322260645,38.52200848115932,1483.9451374225105
20.0,94.61162276719892,50.07860802575179,2507.8669817968917
25.0,107.39157349522922,62.85855875378209,3951.198408602675
30.0,122.96728713467198,78.43427239322484,6151.935085854593
35.0,140.53960395971973,96.0065892182726,9217.265173326135
40.0,155.8310020731635,111.29798733171636,12387.241984090895
45.0,172.42505437790226,127.89203963645512,16356.37380237261
50.0,189.50397470231343,144.9709599608663,21016.5792319751
55.0,204.01649575991806,159.4834810184709,25434.980717768973
60.0,219.1365533286189,174.60353858717178,30486.395687161985
65.0,233.34812929804997,188.81511455660285,35651.14748502306
70.0,247.14131345628635,202.60829871483924,41050.122708121526
75.0,258.3384549153071,213.80544017386,45712.76624793803
80.0,269.2015728577403,224.66855811629318,50475.96100605421
85.0,279.6677309187975,235.13471617735036,55288.33475180311
90.0,291.14708559595573,246.6140708545086,60818.499943432595
95.0,300.8590189226512,256.3260041812041,65703.02041950266
100.0,308.4548792075746,263.9218644661275,69654.75054327697
105.0,316.4544835332948,271.9214687918477,73941.2851899158
110.0,322.67566768458113,278.142652943134,77363.3353862447
115.0,328.91994003096954,284.3869252895224,80875.9232756284
120.0,334.6612234891776,290.12820874773047,84174.37751116666
125.0,339.187983770125,294.6549690286779,86821.55077329114
130.0,342.8741212331614,298.3411064917143,89007.41582270041
135.0,346.4469698441001,301.913955102653,91152.03628572678
140.0,349.5207118386205,304.9876970971734,93017.49538063719
145.0,352.1902964946037,307.65728175315655,94653.00301574115
150.0,353.2685546770981,308.735539935651,95317.63361935795
155.0,355.949484475588,311.4164697341409,96980.2176216751
160.0,358.5419198409125,314.0089050994654,98601.59248176505
165.0,360.93521937565885,316.4022046342117,100110.35509738959
170.0,362.9260231514302,318.39300840998305,101374.10780435953
175.0,365.02943938973004,320.4964246482829,102717.9582123325
180.0,366.49094886152955,321.9579341200824,103656.91134287133
185.0,367.5319856425069,322.9989709010598,104328.33520314368
190.0,355.54555798490173,311.0125432434546,96728.80205476173
195.0,356.6121278081996,312.0791130667525,97393.37281253088
200.0,357.17947290199527,312.64645816054815,97747.80780033539
205.0,358.0300556006307,313.4970408591836,98280.39462746462
210.0,358.606108218755,314.0730934773079,98641.90804640579
215.0,359.0532927995893,314.5202780581422,98923.00530977108
220.0,364.1006701147999,319.5676553733528,102123.48636082199
225.0,364.1547800354082,319.62176529396106,102158.07284962793
230.0,364.2723694667998,319.73935472535265,102233.2549601849
235.0,364.0560415321894,319.5230267907423,102094.96464951741
240.0,350.98822119655534,306.4552064551082,93914.793563443
245.0,350.6065627775053,306.0735480360582,93681.01680738122
250.0,350.0977982029962,305.5647834615491,93369.83689190338
255.0,349.70590381908914,305.172889077642,93130.49222799481
260.0,349.66660930962,305.1335945681729,93106.51053409411
265.0,349.0390721920137,304.5060574505666,92723.93902408775
270.0,348.2072674755594,303.67425273411226,92218.05177362148
275.0,347.5033376685964,302.97032292714925,91791.0165745811
280.0,346.58624717719545,302.0532324357483,91236.1552248842
285.0,345.40297130775,300.8699565663029,90522.730764209
290.0,344.14124054284616,299.60822580139904,89765.08896786212
295.0,343.14725808511133,298.6142433436642,89170.4663277091
300.0,341.9806031926236,297.4475884511765,88475.06787542047
305.0,340.6170342784764,296.0840195370293,87665.74662520394
310.0,339.6251898034233,295.0921750619762,87079.39178280802
315.0,337.8596966680832,293.32668192663607,86040.54233008993
320.0,336.65862661357943,292.1256118721323,85337.3731116677
