,img_num,density,integrated_move,max_r,num_waves,max_areas
0,38,6000.920319254024,120729.23837308223,299.98158805968814,10,1236759.0491177281
1,39,8692.685374574436,116995.50003081479,349.7075568002998,6,816657.4067180017
2,28,11427.950577622549,4378.5255752097755,125.59942028537972,3,100231.62255726698
3,58,2883.029447965959,51094.03776329025,315.7569532027781,5,814411.5312808936
4,64,8473.293865363368,26406.814610035508,259.1850959024373,4,418485.5397662299
5,70,3071.4811289549534,74759.5747625726,303.25357277990963,10,1498926.8683638843
6,71,4167.032319182018,52108.08620183723,246.0070375240648,7,789040.6478355136
7,65,9298.824736561426,45637.5994542404,236.83340850642813,7,443577.8760948039
8,59,4344.233153544804,55068.164770528696,339.51790798143975,8,1183157.611145699
9,73,5240.081816156665,71912.29752602348,358.7698055305472,6,986330.1352383136
10,67,6816.6066996541485,69921.18581355189,260.33847239697104,9,802940.3125718213
11,66,9087.871362320013,66599.89074206278,309.0437453562681,10,748665.480933571
12,72,4209.2229940303005,72407.53711727643,292.26650944145376,8,963086.4765742382
13,76,4491.900515513792,123490.65813258385,363.0332819811435,7,1174780.7946956782
14,62,6030.453791647821,42274.68501690586,301.2567972812969,6,549334.0314895305
15,63,8380.474380697147,18909.46482424381,271.17069886151364,5,472739.21384897386
16,77,14714.7010312526,14528.909507939325,294.6926619490173,3,412947.01104902383
17,88,9425.396761106273,79669.9867335456,355.5361480814637,6,947660.5471102996
18,61,7304.612172065948,50144.44754155068,325.3520499773508,7,774292.1047528218
19,75,3798.5670921736855,99847.38011970108,326.1046128354889,4,708419.2149035849
20,49,7411.495215014929,126261.59645360167,407.0077899963246,7,1382321.8263694164
21,48,5915.456646766012,67482.26749493033,262.4471411552887,8,895069.8432118935
22,74,4804.111509391081,59393.118490403984,266.72892718751547,6,824416.3994673761
23,60,4712.698380553136,25478.393803717103,282.7864812148472,3,532124.7176217589
24,86,8329.845570879208,69002.96827307135,345.3271296263543,8,800610.5439433987
25,79,14387.020123264274,39671.32150160021,284.4502278368764,5,546366.7077950607
26,45,4975.163911123354,66203.06055518032,299.778826809861,8,866165.8544120761
27,51,5946.072441951256,113500.90884937017,354.2132004794202,6,1371377.0775592423
28,50,7156.944810096959,42605.32766533154,258.7946337897014,6,623687.8268269128
29,44,14250.603607921495,30864.415537634013,141.81500010958027,9,336546.7187516285
30,78,13280.218086411,20009.397530632763,225.8927833107454,6,495528.7397010556
31,87,6868.641865300363,18260.337393545717,233.37098901896024,8,816423.0664699124
32,85,6428.452491049951,47651.41019908213,298.1705561147052,9,905478.9576016157
33,52,6667.532981856884,90372.90185907268,344.551730756307,9,1103204.1549807405
34,46,3793.5440883987008,111285.6141857621,386.1904744129359,5,1230998.0400793112
35,47,5004.594043694329,97436.02932276268,299.75621247130493,8,1087195.4845258945
36,53,13540.393914642076,11828.11562845348,186.21641614044267,7,430046.9579503981
37,84,2591.913791512812,44366.04288834203,310.85111989816744,7,971526.6684732846
38,80,14659.853153949833,13852.743697191983,182.68680012189037,6,422752.48133765266
39,57,3316.187043074991,37096.14071089519,276.86033038789486,5,655967.6524665314
40,42,11129.900024976878,11297.274714459785,175.41472331015763,6,325781.4880978915
41,56,13028.480393149584,18123.076835811014,207.926340537232,4,322951.52314227266
42,81,3078.512908096334,79978.6384613149,306.7063211993659,6,1059022.5513820997
43,83,3165.7069694494508,112168.3949231812,317.34880644771283,6,1141024.716549236
44,40,8311.562945111618,150848.96071702157,336.6529168988961,14,1389183.4941865932
45,54,12083.409276548058,22308.882879915796,277.77628717795073,6,513812.71820959845
46,68,7525.410037105292,106144.10406862764,353.99374705504715,7,1077318.6593471994
47,69,3259.932809943948,118089.94068062594,397.4677719445153,4,1403104.7065813271
48,41,13485.546037339309,71593.20287006574,236.7703254725752,9,698820.4067236356
49,82,3791.535313032305,54848.7831983549,276.0464237067908,11,1456192.1413777054
50,26,11421.345780294056,6236.5975268252305,108.8729128062446,3,85329.87704044068
51,33,4216.25477317168,62864.9675003909,230.360658778543,8,653757.0769913914
52,27,11183.57307646836,13801.900249088707,154.3282084557755,4,109225.07357074559
53,34,3459.635337559151,65196.61298978058,292.44238834557655,10,979131.7749537139
54,35,4061.555632061312,85237.87994762944,303.45276763544786,12,857496.8049511148
55,37,6930.52152174451,89998.96979404587,376.6175348550495,4,606204.7422435865
56,36,4740.825497118658,48121.28540351199,277.7689066215255,8,690085.1508465244
